id,nombre,precio,descripción,largo(cm),alto(cm),ancho(cm),peso(kg),fecha_de_caducidad,duracion_sin_refrigerar,tipo_de_conserva,tienda
142,mix de frutas en conserva,5219,fruta en conserva,,,,,2021-06-08,,caja,50
37,cerdo,13208,carne,,,,,2022-03-12,8,,50
344,pantalla para colgar,11629,pantalla de luz,9,18,47,0.23,,,,69
53,durazno,5640,frutas,,,,,2022-04-08,22,,97
73,pantalla lineas,8949,pantalla de luz,22,29,11,0.45,,,,45
102,televisor,5303,producto tecnologico,33,12,50,0.17,,,,29
351,vacuno congelado,11224,carne congelada,,,,4.69,2022-01-08,,,63
284,marraqueta,14433,pan,,,,,2022-02-20,14,,19
360,pantalla papel,11751,pantalla de luz,37,41,20,0.71,,,,16
348,mouse,14046,producto tecnologico,18,14,42,0.29,,,,14
218,hamburguesa de pollo,8248,hamburguesa,,,,1.39,2022-01-16,,,28
244,pantalla para colgar,5174,pantalla de luz,21,45,10,0.64,,,,20
278,camiseta,9381,ropa,16,15,40,0.88,,,,1
369,tomate,13568,verduras,,,,,2022-02-12,12,,72
315,pantalla lisa,13048,pantalla de luz,40,24,26,0.36,,,,6
102,televisor,5303,producto tecnologico,33,12,50,0.17,,,,92
291,arvejas congeladas,9580,verduras congeladas,,,,3.57,2021-07-06,,,101
303,pantalla lisa,14182,pantalla de luz,7,46,33,0.57,,,,9
127,pan de molde,9653,pan,,,,,2021-07-25,19,,74
229,merlusa,8380,pescado congelado,,,,4.96,2021-07-12,,,56
176,salmon,6261,pescado congelado,,,,2.72,2021-12-09,,,65
314,pavo congelado,12293,carne congelada,,,,3.25,2021-06-19,,,71
93,pan de molde,11181,pan,,,,,2021-10-23,22,,52
5,mix de verduras congeladas,11791,verduras congeladas,,,,1.61,2022-01-03,,,8
297,pantalla para colgar,6596,pantalla de luz,20,13,44,0.51,,,,52
7,pantalla lineas,10802,pantalla de luz,33,41,5,0.41,,,,74
331,lenguado,6376,pescado congelado,,,,1.21,2021-08-01,,,56
133,reineta,7700,pescado congelado,,,,4.5,2021-12-18,,,61
254,kiwi,7974,frutas,,,,,2021-12-29,17,,40
368,limon,12932,verduras,,,,,2021-11-29,6,,38
226,carne molida,5033,carne congelada,,,,2.01,2022-04-17,,,25
208,telefono,9760,producto tecnologico,22,8,31,0.14,,,,36
0,merlusa,8706,pescado congelado,,,,4.82,2021-08-28,,,51
181,hamburguesa de verduras,5304,hamburguesa,,,,2.48,2021-06-26,,,61
62, frutillas en conserva,6958,fruta en conserva,,,,,2022-04-02,,lata,20
160,merlusa,10910,pescado congelado,,,,3.21,2021-08-08,,,53
246,pollo,9006,carne,,,,,2021-10-27,7,,32
171,mix de frutas en conserva,8658,fruta en conserva,,,,,2022-02-04,,caja,87
356,kiwi,14585,frutas,,,,,2021-06-07,23,,65
409,pantalla lineas,12158,pantalla de luz,24,27,14,0.92,,,,75
340,pantalla para colgar,5107,pantalla de luz,48,27,39,0.29,,,,73
20,cerdo,12012,carne,,,,,2021-12-08,6,,15
181,hamburguesa de verduras,5304,hamburguesa,,,,2.48,2021-06-26,,,3
22,televisor,5912,producto tecnologico,43,22,30,0.41,,,,66
119,hamburguesa de vacuno,12701,hamburguesa,,,,1.52,2022-01-30,,,32
187,carne molida,12944,carne congelada,,,,2.4,2021-06-16,,,2
351,vacuno congelado,11224,carne congelada,,,,4.69,2022-01-08,,,73
187,carne molida,12944,carne congelada,,,,2.4,2021-06-16,,,77
122,porotos congelados,11540,verduras congeladas,,,,3.16,2021-12-27,,,100
312,pantalla papel,6898,pantalla de luz,43,7,19,0.75,,,,76
205,lechuga,5224,verduras,,,,,2021-07-19,11,,44
295,manzana,11013,frutas,,,,,2022-01-18,17,,55
404,mix de verduras congeladas,14681,verduras congeladas,,,,1.66,2022-01-03,,,48
385,limon,11324,verduras,,,,,2022-01-06,14,,16
315,pantalla lisa,13048,pantalla de luz,40,24,26,0.36,,,,90
192,telefono,12648,producto tecnologico,23,6,6,0.41,,,,55
340,pantalla para colgar,5107,pantalla de luz,48,27,39,0.29,,,,71
279,merlusa,9334,pescado congelado,,,,1.41,2022-04-18,,,101
245,pantalla lisa,6627,pantalla de luz,49,31,37,0.25,,,,33
312,pantalla papel,6898,pantalla de luz,43,7,19,0.75,,,,8
273,hallulla,12150,pan,,,,,2021-08-15,23,,65
154,telefono,13859,producto tecnologico,36,10,20,0.43,,,,50
18,palta,14117,verduras,,,,,2021-06-12,9,,41
142,mix de frutas en conserva,5219,fruta en conserva,,,,,2021-06-08,,caja,38
60,pantalla para colgar,8436,pantalla de luz,6,24,5,0.6,,,,64
78,hamburguesa de quinoa,7460,hamburguesa,,,,3.82,2021-05-17,,,40
218,hamburguesa de pollo,8248,hamburguesa,,,,1.39,2022-01-16,,,45
62, frutillas en conserva,6958,fruta en conserva,,,,,2022-04-02,,lata,66
192,telefono,12648,producto tecnologico,23,6,6,0.41,,,,65
308,mix de verduras congeladas,6920,verduras congeladas,,,,1.33,2021-08-20,,,86
414,pantalla lineas,11871,pantalla de luz,12,14,49,0.55,,,,29
75,lechuga,7914,verduras,,,,,2022-02-27,12,,91
298,vestido,5065,ropa,7,7,19,0.16,,,,68
167,hamburguesa de vacuno,9224,hamburguesa,,,,2.74,2021-09-26,,,98
326,esparragos frasco,14352,verdura en conserva,,,,,2021-08-16,,lata,17
175,hallulla,11970,pan,,,,,2021-07-02,23,,73
405,pavo,7717,carne,,,,,2022-04-06,9,,51
76,manzana,9326,frutas,,,,,2021-06-19,22,,16
396,porotos congelados,8296,verduras congeladas,,,,4.65,2021-08-24,,,17
363,jeans,7348,ropa,38,34,31,0.25,,,,22
1,mix de frutas en conserva,10730,fruta en conserva,,,,,2021-06-07,,caja,81
140,teclado,6971,producto tecnologico,45,9,8,0.56,,,,61
292,vacuno congelado,12122,carne congelada,,,,1.41,2021-05-20,,,47
16,hamburguesa de quinoa,5914,hamburguesa,,,,2.2,2021-12-10,,,51
311,vestido,14898,ropa,28,25,14,0.21,,,,51
377,telefono,14256,producto tecnologico,35,5,12,0.82,,,,25
222,vestido,10689,ropa,19,49,16,0.17,,,,12
38,cerdo congelado,5036,carne congelada,,,,2.67,2021-07-11,,,10
153,pantalla papel,8665,pantalla de luz,39,36,29,0.6,,,,61
367,teclado,7331,producto tecnologico,32,32,18,0.5,,,,99
327,hallulla,6887,pan,,,,,2021-12-06,20,,26
224,camiseta,12133,ropa,7,38,23,0.41,,,,64
138,marraqueta,9334,pan,,,,,2022-04-27,13,,97
211,hamburguesa de quinoa,13949,hamburguesa,,,,2.31,2021-10-10,,,68
264,hamburguesa de vacuno,14847,hamburguesa,,,,1.01,2021-08-21,,,53
46,palta,13279,verduras,,,,,2021-09-14,17,,86
94,pollo congelado,6136,carne congelada,,,,1.14,2021-10-09,,,16
25,lechuga,7704,verduras,,,,,2021-12-21,15,,94
214,cerdo,6063,carne,,,,,2022-03-24,15,,9
143,vacuno,13742,carne,,,,,2022-03-08,8,,37
66,vacuno congelado,12014,carne congelada,,,,1.35,2021-11-12,,,27
402,salmon,6712,pescado congelado,,,,4.51,2022-01-08,,,90
371,marraqueta,11380,pan,,,,,2022-04-05,21,,10
83, frutillas en conserva,12139,fruta en conserva,,,,,2021-05-23,,caja,22
332,pantalla lisa,7833,pantalla de luz,6,6,7,0.64,,,,85
168,hallulla,6062,pan,,,,,2022-04-17,21,,51
377,telefono,14256,producto tecnologico,35,5,12,0.82,,,,92
209,televisor,10968,producto tecnologico,27,37,47,0.18,,,,85
73,pantalla lineas,8949,pantalla de luz,22,29,11,0.45,,,,84
238,reineta,10784,pescado congelado,,,,3.84,2022-04-11,,,86
404,mix de verduras congeladas,14681,verduras congeladas,,,,1.66,2022-01-03,,,76
381,pantalla para colgar,8882,pantalla de luz,41,9,42,0.37,,,,66
30,vacuno,8973,carne,,,,,2021-08-12,22,,15
366,pantalla papel,8830,pantalla de luz,45,47,16,0.92,,,,48
318,pavo,6208,carne,,,,,2021-10-10,10,,80
79,teclado,5555,producto tecnologico,26,10,17,0.35,,,,4
205,lechuga,5224,verduras,,,,,2021-07-19,11,,28
381,pantalla para colgar,8882,pantalla de luz,41,9,42,0.37,,,,11
3,merlusa,13317,pescado congelado,,,,2.03,2021-08-09,,,73
268,teclado,12598,producto tecnologico,43,14,8,0.86,,,,37
366,pantalla papel,8830,pantalla de luz,45,47,16,0.92,,,,79
13,esparragos frasco,14537,verdura en conserva,,,,,2021-07-12,,caja,70
154,telefono,13859,producto tecnologico,36,10,20,0.43,,,,53
101,mix de verduras congeladas,8253,verduras congeladas,,,,3.95,2021-07-18,,,11
334,pantalla lineas,9860,pantalla de luz,40,14,10,0.98,,,,65
326,esparragos frasco,14352,verdura en conserva,,,,,2021-08-16,,lata,101
33, frutillas en conserva,9530,fruta en conserva,,,,,2021-09-14,,caja,31
162,pollo,9026,carne,,,,,2021-08-28,24,,68
304,jeans,8403,ropa,26,29,22,0.69,,,,85
392,arvejas en conserva,13884,verdura en conserva,,,,,2021-07-28,,lata,54
74,pantalla lisa,14478,pantalla de luz,5,33,14,0.72,,,,0
370,pera,14775,frutas,,,,,2021-07-24,21,,98
392,arvejas en conserva,13884,verdura en conserva,,,,,2021-07-28,,lata,100
35,hamburguesa de vacuno,13174,hamburguesa,,,,3.37,2021-08-07,,,76
301,carne molida,6414,carne congelada,,,,4.15,2021-12-30,,,64
380,reineta,6388,pescado congelado,,,,4.72,2022-03-15,,,15
261,palta,13207,verduras,,,,,2021-08-17,11,,82
198,mouse,12730,producto tecnologico,33,29,6,0.62,,,,21
85,salmon,9211,pescado congelado,,,,4.93,2021-11-09,,,87
206,lenguado,8200,pescado congelado,,,,2.33,2021-05-19,,,84
125,teclado,6734,producto tecnologico,12,42,48,0.82,,,,72
378,televisor,10657,producto tecnologico,26,45,5,0.13,,,,8
174,vacuno,14113,carne,,,,,2021-09-10,15,,67
25,lechuga,7704,verduras,,,,,2021-12-21,15,,59
215,durazno,9245,frutas,,,,,2021-10-16,23,,25
113,hamburguesa de verduras,8820,hamburguesa,,,,1.24,2021-06-12,,,54
142,mix de frutas en conserva,5219,fruta en conserva,,,,,2021-06-08,,caja,40
36,lenguado,12514,pescado congelado,,,,4.0,2021-11-06,,,77
397,palta,13962,verduras,,,,,2021-05-27,8,,46
93,pan de molde,11181,pan,,,,,2021-10-23,22,,93
301,carne molida,6414,carne congelada,,,,4.15,2021-12-30,,,96
382,kiwi,10967,frutas,,,,,2021-12-07,10,,75
70,vacuno congelado,14623,carne congelada,,,,3.94,2021-09-03,,,63
157,hamburguesa de pollo,14465,hamburguesa,,,,2.41,2021-09-28,,,77
34,mix de verduras congeladas,13386,verduras congeladas,,,,4.15,2021-06-30,,,71
61,vacuno,5898,carne,,,,,2021-11-25,7,,17
252,pavo congelado,6840,carne congelada,,,,1.6,2021-10-01,,,101
38,cerdo congelado,5036,carne congelada,,,,2.67,2021-07-11,,,10
98,teclado,5890,producto tecnologico,31,5,34,0.76,,,,67
49,televisor,11837,producto tecnologico,9,36,33,0.39,,,,81
412,marraqueta,14464,pan,,,,,2021-11-17,24,,66
408,garbanzos en conserva,12008,verdura en conserva,,,,,2022-02-11,,frasco,46
150,salmon,6044,pescado congelado,,,,3.53,2022-04-17,,,26
367,teclado,7331,producto tecnologico,32,32,18,0.5,,,,86
279,merlusa,9334,pescado congelado,,,,1.41,2022-04-18,,,10
208,telefono,9760,producto tecnologico,22,8,31,0.14,,,,98
314,pavo congelado,12293,carne congelada,,,,3.25,2021-06-19,,,98
297,pantalla para colgar,6596,pantalla de luz,20,13,44,0.51,,,,85
206,lenguado,8200,pescado congelado,,,,2.33,2021-05-19,,,84
396,porotos congelados,8296,verduras congeladas,,,,4.65,2021-08-24,,,3
84,pantalla lisa,14987,pantalla de luz,16,20,49,0.83,,,,24
217,pollo,13965,carne,,,,,2021-09-16,24,,53
74,pantalla lisa,14478,pantalla de luz,5,33,14,0.72,,,,37
298,vestido,5065,ropa,7,7,19,0.16,,,,71
32,pantalla para colgar,6200,pantalla de luz,47,45,32,0.19,,,,64
269,televisor,11826,producto tecnologico,14,30,14,0.88,,,,67
166,reineta,12040,pescado congelado,,,,3.73,2021-08-12,,,87
388,hamburguesa de vacuno,8376,hamburguesa,,,,1.73,2021-10-11,,,81
375,pollo congelado,7447,carne congelada,,,,2.31,2021-06-29,,,19
60,pantalla para colgar,8436,pantalla de luz,6,24,5,0.6,,,,37
411,durazno,11230,frutas,,,,,2022-02-17,8,,100
172,polera,11996,ropa,44,10,39,0.7,,,,95
68,camisa,5009,ropa,40,29,14,0.6,,,,16
21,televisor,12324,producto tecnologico,14,38,28,0.2,,,,14
266,poleron,11997,ropa,36,44,9,0.84,,,,27
237,marraqueta,6179,pan,,,,,2022-01-17,15,,73
293,vacuno congelado,7891,carne congelada,,,,1.44,2021-12-03,,,101
265,telefono,6947,producto tecnologico,9,40,30,0.89,,,,10
195,reineta,8674,pescado congelado,,,,2.9,2022-01-15,,,13
66,vacuno congelado,12014,carne congelada,,,,1.35,2021-11-12,,,70
94,pollo congelado,6136,carne congelada,,,,1.14,2021-10-09,,,101
347,salmon,5361,pescado congelado,,,,1.66,2021-07-17,,,25
331,lenguado,6376,pescado congelado,,,,1.21,2021-08-01,,,81
134,jeans,10305,ropa,47,11,36,0.72,,,,96
63,arvejas congeladas,14607,verduras congeladas,,,,3.93,2021-11-05,,,65
128,pavo,9003,carne,,,,,2021-10-02,21,,56
45,salmon,10211,pescado congelado,,,,1.69,2021-11-09,,,75
0,merlusa,8706,pescado congelado,,,,4.82,2021-08-28,,,3
82,durazno,9861,frutas,,,,,2021-07-18,17,,97
26,manzana,7438,frutas,,,,,2021-10-02,17,,14
194,hallulla,9444,pan,,,,,2021-11-03,15,,10
74,pantalla lisa,14478,pantalla de luz,5,33,14,0.72,,,,50
151,cerdo congelado,13962,carne congelada,,,,2.29,2021-10-26,,,53
321,esparragos frasco,9752,verdura en conserva,,,,,2021-06-24,,lata,45
267,pollo,6605,carne,,,,,2021-10-15,17,,77
210,pantalla lisa,7658,pantalla de luz,46,8,14,0.35,,,,80
388,hamburguesa de vacuno,8376,hamburguesa,,,,1.73,2021-10-11,,,39
15,durazno,13302,frutas,,,,,2021-10-13,10,,95
107,esparragos frasco,7134,verdura en conserva,,,,,2021-11-30,,caja,28
222,vestido,10689,ropa,19,49,16,0.17,,,,29
344,pantalla para colgar,11629,pantalla de luz,9,18,47,0.23,,,,8
355,mix de frutas en conserva,12120,fruta en conserva,,,,,2021-08-27,,frasco,56
258,chaqueta,13813,ropa,35,33,14,0.63,,,,100
148,palta,9424,verduras,,,,,2021-06-22,17,,73
211,hamburguesa de quinoa,13949,hamburguesa,,,,2.31,2021-10-10,,,7
163,carne molida,7134,carne congelada,,,,3.66,2021-09-26,,,101
355,mix de frutas en conserva,12120,fruta en conserva,,,,,2021-08-27,,frasco,23
237,marraqueta,6179,pan,,,,,2022-01-17,15,,5
270,hamburguesa de verduras,12794,hamburguesa,,,,2.99,2021-05-18,,,82
95,esparragos frasco,9882,verdura en conserva,,,,,2021-09-09,,lata,39
62, frutillas en conserva,6958,fruta en conserva,,,,,2022-04-02,,lata,84
353,pavo congelado,7137,carne congelada,,,,2.29,2021-10-21,,,82
309,carne molida,5014,carne congelada,,,,1.25,2021-08-06,,,17
165,camiseta,10613,ropa,35,31,31,0.29,,,,71
278,camiseta,9381,ropa,16,15,40,0.88,,,,0
352,mix de frutas en conserva,14348,fruta en conserva,,,,,2021-09-26,,frasco,31
37,cerdo,13208,carne,,,,,2022-03-12,8,,51
123,choclo congelado,14418,verduras congeladas,,,,2.32,2021-09-01,,,36
338,mix de frutas en conserva,10464,fruta en conserva,,,,,2021-10-26,,frasco,50
413,durazno en conserva,12428,fruta en conserva,,,,,2021-09-15,,frasco,71
247,poleron,12512,ropa,35,28,12,0.85,,,,12
248,pantalla para colgar,8944,pantalla de luz,22,6,37,0.47,,,,28
111,lechuga,8330,verduras,,,,,2021-09-04,13,,50
81,hamburguesa de vacuno,8644,hamburguesa,,,,4.55,2022-04-16,,,69
55,mouse,6334,producto tecnologico,11,13,39,0.64,,,,3
283,telefono,12515,producto tecnologico,15,19,38,0.71,,,,42
33, frutillas en conserva,9530,fruta en conserva,,,,,2021-09-14,,caja,73
36,lenguado,12514,pescado congelado,,,,4.0,2021-11-06,,,76
142,mix de frutas en conserva,5219,fruta en conserva,,,,,2021-06-08,,caja,43
301,carne molida,6414,carne congelada,,,,4.15,2021-12-30,,,74
409,pantalla lineas,12158,pantalla de luz,24,27,14,0.92,,,,85
16,hamburguesa de quinoa,5914,hamburguesa,,,,2.2,2021-12-10,,,44
287,carne molida,14751,carne congelada,,,,2.47,2021-12-29,,,83
26,manzana,7438,frutas,,,,,2021-10-02,17,,89
56,lenguado,5173,pescado congelado,,,,2.6,2021-11-07,,,1
89,pantalla lineas,6647,pantalla de luz,38,11,43,0.78,,,,10
120,marraqueta,13520,pan,,,,,2022-01-19,9,,11
300,durazno en conserva,5467,fruta en conserva,,,,,2022-02-18,,caja,0
208,telefono,9760,producto tecnologico,22,8,31,0.14,,,,14
231,jeans,13914,ropa,35,15,10,0.92,,,,26
398,pantalla papel,14579,pantalla de luz,19,20,25,0.19,,,,63
53,durazno,5640,frutas,,,,,2022-04-08,22,,32
184,hamburguesa de vacuno,6871,hamburguesa,,,,1.5,2022-02-25,,,41
13,esparragos frasco,14537,verdura en conserva,,,,,2021-07-12,,caja,6
82,durazno,9861,frutas,,,,,2021-07-18,17,,5
75,lechuga,7914,verduras,,,,,2022-02-27,12,,36
175,hallulla,11970,pan,,,,,2021-07-02,23,,99
371,marraqueta,11380,pan,,,,,2022-04-05,21,,80
18,palta,14117,verduras,,,,,2021-06-12,9,,9
209,televisor,10968,producto tecnologico,27,37,47,0.18,,,,21
381,pantalla para colgar,8882,pantalla de luz,41,9,42,0.37,,,,22
214,cerdo,6063,carne,,,,,2022-03-24,15,,75
331,lenguado,6376,pescado congelado,,,,1.21,2021-08-01,,,38
131,cerdo congelado,8452,carne congelada,,,,2.73,2022-02-07,,,41
416,esparragos frasco,6807,verdura en conserva,,,,,2022-01-18,,frasco,98
379,hamburguesa de vacuno,11754,hamburguesa,,,,1.87,2021-07-16,,,92
174,vacuno,14113,carne,,,,,2021-09-10,15,,50
68,camisa,5009,ropa,40,29,14,0.6,,,,94
44,lenguado,12660,pescado congelado,,,,3.44,2021-05-20,,,92
37,cerdo,13208,carne,,,,,2022-03-12,8,,58
260,limon,10707,verduras,,,,,2022-04-19,19,,55
367,teclado,7331,producto tecnologico,32,32,18,0.5,,,,69
167,hamburguesa de vacuno,9224,hamburguesa,,,,2.74,2021-09-26,,,33
113,hamburguesa de verduras,8820,hamburguesa,,,,1.24,2021-06-12,,,95
34,mix de verduras congeladas,13386,verduras congeladas,,,,4.15,2021-06-30,,,78
244,pantalla para colgar,5174,pantalla de luz,21,45,10,0.64,,,,94
355,mix de frutas en conserva,12120,fruta en conserva,,,,,2021-08-27,,frasco,56
329,hallulla,12550,pan,,,,,2022-01-24,5,,66
90,mix de verduras congeladas,9916,verduras congeladas,,,,2.52,2021-09-29,,,92
18,palta,14117,verduras,,,,,2021-06-12,9,,50
87,teclado,12613,producto tecnologico,9,15,25,0.33,,,,3
34,mix de verduras congeladas,13386,verduras congeladas,,,,4.15,2021-06-30,,,31
129,pan de molde,10062,pan,,,,,2022-01-30,16,,5
401,arvejas congeladas,14782,verduras congeladas,,,,2.48,2022-01-09,,,37
272,salmon,6760,pescado congelado,,,,3.85,2021-08-13,,,61
366,pantalla papel,8830,pantalla de luz,45,47,16,0.92,,,,63
357,mouse,14549,producto tecnologico,26,50,42,0.66,,,,5
236,mouse,11941,producto tecnologico,42,8,38,0.94,,,,9
27,hamburguesa de pollo,13436,hamburguesa,,,,2.03,2021-12-25,,,0
42,cerdo,6686,carne,,,,,2022-01-09,19,,76
23,arvejas congeladas,12666,verduras congeladas,,,,2.44,2021-12-04,,,56
320,pantalla lineas,8495,pantalla de luz,34,42,48,0.41,,,,11
379,hamburguesa de vacuno,11754,hamburguesa,,,,1.87,2021-07-16,,,76
36,lenguado,12514,pescado congelado,,,,4.0,2021-11-06,,,17
349, frutillas en conserva,7657,fruta en conserva,,,,,2021-11-27,,lata,47
160,merlusa,10910,pescado congelado,,,,3.21,2021-08-08,,,38
321,esparragos frasco,9752,verdura en conserva,,,,,2021-06-24,,lata,54
292,vacuno congelado,12122,carne congelada,,,,1.41,2021-05-20,,,52
341,pollo congelado,10534,carne congelada,,,,4.13,2021-12-09,,,44
385,limon,11324,verduras,,,,,2022-01-06,14,,59
332,pantalla lisa,7833,pantalla de luz,6,6,7,0.64,,,,4
158,hamburguesa de pollo,10287,hamburguesa,,,,3.71,2021-05-07,,,50
40,pantalla lisa,11843,pantalla de luz,18,25,9,0.43,,,,90
297,pantalla para colgar,6596,pantalla de luz,20,13,44,0.51,,,,2
377,telefono,14256,producto tecnologico,35,5,12,0.82,,,,48
314,pavo congelado,12293,carne congelada,,,,3.25,2021-06-19,,,54
300,durazno en conserva,5467,fruta en conserva,,,,,2022-02-18,,caja,98
287,carne molida,14751,carne congelada,,,,2.47,2021-12-29,,,51
84,pantalla lisa,14987,pantalla de luz,16,20,49,0.83,,,,92
269,televisor,11826,producto tecnologico,14,30,14,0.88,,,,63
191,marraqueta,6589,pan,,,,,2022-05-02,17,,58
19,durazno en conserva,8421,fruta en conserva,,,,,2021-12-12,,frasco,56
286,manzana,13091,frutas,,,,,2021-08-17,9,,54
262,lenguado,14080,pescado congelado,,,,1.7,2021-07-30,,,84
75,lechuga,7914,verduras,,,,,2022-02-27,12,,98
372,mouse,9082,producto tecnologico,20,10,12,0.85,,,,67
254,kiwi,7974,frutas,,,,,2021-12-29,17,,101
89,pantalla lineas,6647,pantalla de luz,38,11,43,0.78,,,,38
197,pantalla papel,10497,pantalla de luz,46,35,27,0.63,,,,79
186,lechuga,13393,verduras,,,,,2021-12-03,24,,46
415,pantalla lineas,8289,pantalla de luz,45,8,35,0.47,,,,59
352,mix de frutas en conserva,14348,fruta en conserva,,,,,2021-09-26,,frasco,96
134,jeans,10305,ropa,47,11,36,0.72,,,,59
90,mix de verduras congeladas,9916,verduras congeladas,,,,2.52,2021-09-29,,,13
126,teclado,12241,producto tecnologico,38,9,45,0.88,,,,34
192,telefono,12648,producto tecnologico,23,6,6,0.41,,,,41
285,durazno,13057,frutas,,,,,2022-01-21,11,,65
74,pantalla lisa,14478,pantalla de luz,5,33,14,0.72,,,,4
45,salmon,10211,pescado congelado,,,,1.69,2021-11-09,,,24
